app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at,extracted_features_TransFeatEx
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,7a279ce5-87c1-47e5-994d-41362bbe57a4,Copilot has nearly replaced my Bing searches. I miss Cortana though. There are occasional questions that you should verify independently because this as well as most other AI will tell you anything is possible.,,Jon Worthy,5,"Nov 06, 2024",ReplaceBingSearch;MissCortana
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,df866f2f-e974-49a6-835b-565095815795,The Copilot application is more than expected. I'm very glad to have the opportunity to get all the help needed in completing my day to day work.,,Ahsan Qureshi,5,"Nov 06, 2024",HaveOpportunity
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,40a22a98-4878-499e-976e-c36838d2684c,"best thing ever!!!!! I've used this to create company logos, rewrite business documents more professionally, create birthday messages with images... it's absolutely awesome!!",,Juanita Coertze,5,"Nov 06, 2024",GoodThing;CreateCompanyLogo
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,605361e2-6514-4b2d-9fee-b5b2827c2663,"very convenient for answering questions, but super for drawings",,Mohanad Qaschtooni,4,"Nov 06, 2024",AnswerQuestion
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,5cbd7b1b-4446-4a4c-a227-4138d53156bf,very useful copilot,,Ranjith kumar,5,"Nov 06, 2024",VeryUsefulCopilot
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,deed9774-2c46-44f5-8bc6-af47f34ebea2,beat ai,,Junior JJ,5,"Nov 06, 2024",BeatAi
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,6dc4b01c-c5ba-4f1a-94cc-f1a2d776b1ab,"The application is slow to start, I use a Samsung galaxy s23 ultra, I think it is because it is still recent the Android copilot application, I hope this improves, in everything else, excellent.",,Johan Navarro,4,"Nov 06, 2024",UseSamsungGalaxyS23Ultra
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,c9d2b25b-8607-4c61-a7ed-cc06d551f0f1,too much censorship. patronising on political issues,,Tony Harding,5,"Nov 06, 2024",TooMuchCensorship
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,53f908ce-0a71-45b7-a8f3-bfdf1c9c7f7e,Don't know what I would do without co-pilot. It's simply. thing's I don't understand.,,Ceceila Williams,5,"Nov 06, 2024",UnderstandThing
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,bc8bc626-25c0-4644-bdd7-507543f23ebf,i do not google anymore .. i ask Copilot,,Indeh Device,5,"Nov 06, 2024",AskCopilot
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,99eda9c5-12e5-4410-b4d2-14a77691d611,next level searching,,Melanie Mackenzie,5,"Nov 06, 2024",NextLevelSearching
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,363bd294-9c51-453b-854d-f3ba8a72208d,"top thanks, Copilot, for helping me",,MOHAMED MARREF,5,"Nov 06, 2024",TopThank
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,6f3a3064-084b-436f-9b8c-0775b7083565,The best tool ever,,josefina hnd,5,"Nov 06, 2024",GoodTool
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,136d096d-afc3-4125-b28d-7e254af1a27b,best app for ai working,,majid aghighi,5,"Nov 06, 2024",GoodApp
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,ba4ee7e4-de1c-4675-81f7-7337390012c6,wao it's awesome I like it because it's faster and provides detailed information.😍,,Judy muthoni Mbugua,5,"Nov 06, 2024",ProvideDetailedInformation
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,0bd34a5f-d714-469e-b1bf-cd871a657699,Why does this AI become completely useless and confused at times!! It brings up elements of conversations we had days ago. Then gets stuck on it and becomes IMPOSSIBLE to work with. So much that I've had to look for a reliable ai .,,Eve Smith-Westerhof,1,"Nov 06, 2024",BringElement
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,fbba0aee-8c78-47de-ade3-3ec6192df1f1,Three words... I love it🤞 it makes everything easier and it's highly informative... it's just my style,,Mohale Masilo,5,"Nov 06, 2024",ThreeWord
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,373ff23c-2e85-4eb7-aa71-c75a70f9c894,perfect app thanks,,Samiya Mawlid,5,"Nov 06, 2024",PerfectAppThank
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,91bca61a-729f-4c2b-9342-52458bfeb0e7,"Very interactive,but you hate politics",,wilfred njoga,5,"Nov 06, 2024",HatePolitic
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,398791af-1f5f-43e1-aa2e-39c6aa9bed54,It is an excellent app. It has helped me to learn new things better as it understands me with the follow up prompts.,,Patrick Okinyi,5,"Nov 06, 2024",LearnNewThing
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,110c4298-73a8-40fe-851b-d950a4041ec7,Not loving the updated interface but still a great brainstorming partner.,,Brian Valachovic,5,"Nov 06, 2024",LoveUpdateInterface
​​Microsoft Copilot,com.microsoft.copilot,PRODUCTIVITY,c66c33b4-c744-4dd6-a30f-6d1e4f9ec9a4,a good app,,Adeba Purdil,4,"Nov 06, 2024",GoodApp
