Cluster ID,Cluster Name,Feature List
1,Call Disconnection,"disconnect call, end call, leave call"
2,Messaging App,"abyssmal messaging service, good messaging app, very good messaging app"
3,Long Time,"take long time, take little bit"
4,Setting Management,"check setting, change setting, add setting"
5,Calendar Event with Wrong Date,"put day, put wrong year"
6,Joining a Voice Call,"join call, join voice call"
7,App Stop and Help,"stop app, help app"
8,Set Operations,"try set, have set"
9,App Recommendation,"recommend developer, recommend app, recommend other server emote"
10,Set Preferences,"set notification, set simple card, set date, set bidet, mind small bug"
