Cluster ID,Cluster Name,Feature List
1,"Virtual Team Communication, Secure Chat, Private Messaging,","love thing, like gemini thing, and how about other thing, like fact, brainstorm comic idea, misheard many word, it teacher, it really good app, it good search engine, like voice, like google assitant voice, change voice android, like female voice, forgot conversation, like live conversation, love conversation concept, force gemini siren, own android phone, answer at all question, incorporate ability, like request limit, smoke pot, change name, demand permission, correct grammatical mistake, love ai suggestion, like fix, great work well life, not accurate or correct as chqtgpt many many mistake, rate other, use for be ona, like application, control third party application, ok really helpful application, use application, miss functionality, lack in depth analysis, steal device datum, cutout educarional hard topic, like extension, like gemini program, miss instruction, share market trading, like software, role playing problem, like google gemini, like gemini, like similar ai, like quiz, sts convent school, change game, salamat good to sa answer, have own meaning, do alright job, haul heavy trailer, misss world class search engine, miss feature, like feature, like experience, gemini one time good knowledge and skill app, like one, rate one star, like d, release failure, spam android user, form query, like voice chat, love live chat, like live chat, have seperate chatbot, he very usefull app, nice ai app, fun ai app, satisfy app, launch app, download new gemini app, reopen app, permote app, very nice ai app, like app, like google, justs version, miss watch, disapoint thanks google team, upload pdf file, like old fashioned way, like way, good add, change review, near era, like bengali, select other language, speak arabia, undeniably cool high aspiration, miss google assistant, like google assistant, like assistant, perfect ai assistant, osm ap, hail new robotic overload, like great result, like potential"
2,Virtual Team Communication,"provide this much thing, provide very less time, provide lyric, provide photo, provide all facility, provide irrefutable evidence, provide instant response, provide response, provide accurate response, provide very bad response, provide informative and comprehensive response, provide feedback, provide lovely solution, provide insight, provide instruction, provide good answer, provide answer, provide clear answer, provide useful answer, provide correct answer, provide perfect answer, provide very nice tip, provide option, provide copy button, provide feature, provide one, provide well user experience, provide truly enjoyable experience, provide way way well contextual answer, provide language, provide nepali language, provide wrong information, provide more information, provide new information, provide flawed and inaccurate information, provide detailed information, provide sufficient information, provide helpful information, provide information, provide personal information, provide very authentic information, provide good content, provide inaccurate result, provide comprehensive assistance, provide medical advice, provide only link, provide really good assistant, provide formula, provide factual datum, provide actual datum, provide hand free texting, provide source, provide correct one, provide require information, support leftist or progressive ideology, support normal conversation, support persian, support nepali language, support arabic language, support khmer language, support language, support family link account, support pop up mode, display information, use malaysian language, use bangla language, use context, use british english, use technology, use information, use google map, use voice note, use apple music, use gemeni, use bard, use apple product, use full application, use tool, use account info support, use microphone, use entire imagination, use routine, use simple english vocabulary, use good grasp, use gem tutor, use youtube music premium, use other program, use keyboard voice system, use own word, use phrase, use thing, use full thing, use voice typing, use british accent, use voice, use google assistant voice, use male voice, use hand, use phone, use voice control, use voice command, use iphone, use android, use gemini advanced, use gemini live, use gemini, use google gemini, use claude, use ai chatbot, use ai, use pixel bud hand, use edit icon, use microsoft beta, use career guidance gem, use own von, use massive amount, use less than two sentence, use so much accurate very high quality picture, use image, use voice input, use broad set, use brain, so far cool to use so far regret, use google gemini live mode, use talk feature, use feature, use live feature, easy to use reliable awesome interactive feature, use memory feature, use google, use google web page, use personal profile, use less app, use chatgpt app, use many ai app, use gemini app, use full app, use google genini app, use note app, use app, use service, use voice assistance, use voice function, very powerful and easy to use assistant, use friendly assistant, use genie assistant, use google assistant, use additional personal assistant, use assistant, use both google assistant, use headphone, use g, use ga, use google asst, use google workspace, use vpn, use youtube video, use internet, use llm, use chatgpt, use voice to text input, use pixel bud, use text speak app, use chat gpt, use samsung bixby, use bixby, use fahrenheit, uses service, use pixel watch, compare same query, consider ai feature, consider good thing, read image, read input, read code, read text message, read document, have read aloud capability, read notification, read thing, read whole thing, read news, read text, read all text, read fine print, read link, read book, read app, read english, check gemini, check play store, check water, check answer, check transcript, check email, continue chat, continue conversation, choose gemini app, choose english language option, choose language, choose amorality, choose chatgpt, pick word, pick phone, pick audio, pick publicly available datum, help lot, help person, help image, good help feature, help human, nice help app, help science, help positivity, get actual help help, help close friend, save time, save lot, save response, save google task, save chat, save life, save information, fetch information, mistake innovation, good free general purpose ai, fix bug, fix problem, fix error, fix five star, fix issue, fix bad bluetooth audio issue, forget thing, forget context, forget hand free help, forget previous chat, enjoy question, enjoy live conversation, enjoy voice, enjoy ease, enjoy gemini, enjoy app, enjoy easy vocal search, enjoy new life, prepare assignment, urge developer, power ai, very poor language understanding skill, control smart device, control other device, control home light, control smart home thing, control smartphone, control usual app, control smart home function, control spotify, handle simple question, handle simple task, handle very basic command, handle non google datum, push microphone, push particular viewpoint, push gemini, push user, push sand button, give good app, give pic, give slight edge, give previous unit, give five star and congress user, give childish idea, give option, give explanation, give suggestion, give lengthy clear announcement, give ability, give joke, give halluginate statement, give task, give verbose response, give life base response, give random response, give proper response, give simplified response, give short response, give such positive feedback, give well solution, give useful insight, give deep insight, give insight, give ai capability, give detail, give nice voice, give direction, give memory, give roleplay script, give voice prompt, give bunch, give lot, give name, give real shift, give hint, give same exact excuse, give all answer, give opposite answer, give most appropriate answer, give perspective answer, give good answer, give right answer, give actual answer, give circle repetitive subjective answer, give eaxct answer, give only wrong answer, give clear answer, give short answer, give well answer, give full answer, give wrong answer, give clarity answer, give accurate answer, give answer, give flowery answer, give correct and precise answer, give straight answer, give valid answer, give same answer, give proper answer, give exact answer, give rellvelant answer, give inaccurate answer, give irrelevant answer, give correct and accurate answer, give aqurate answer, give more wrong answer, give concrete answer, give acceptable answer, give perfect answer, give different answer, give correct answer, give fast answer, give detailed answer, give incorrect answer, give great help, give so many reason, give permission, give great chance, give chance, give free phone, give time, give direct image, give image, give full picture, give wide view, give valuable advise, give traffic report, give forecast, give accurate weather forecast, give plenty, give answer search, give more star, give one star, give extra star, give zero star, give star, give full star, give five star, give ring, give feature, give all feature, give miss, give full phone controll, give access, give root access, give website link, give contact, give detailed update, give honest rating, give low rating, give bad review, give cai vibe, give google assistant, give advice, give great advice, give vague info, give right info, give wrong info, give info, give basic info, give valuable information, give false information, give whole historical geographical information, give good information, give wrong information, give proper information, give all information, give late information, give nice information, give more other information, give more accurate information, give information, give more information, give great information, give correct information, give error, give accurate result, give political result, give false result, give exact result, give proper result, give incorrect result, give lovely result, give wrong result, give satisfying result, give good result, give result, give decent summary, give question paper, give wrong translation, give language, give total us population, give gemni, give dissertation, give valid point, give halfass, give correct answerbut, give specific informationbut, give wrong datum, give playlist, give long types answer, take so much time, take more time, take too much time, take much time, take small storage space, take phone, take power, take feedback, take little practice, take action, take only thing, take word, take real friend, take picture, take photo, take only feature, take test, take constructive criticism, take note, take place, take user, take google assistant, take alot, take shower, take lil peep, take malyalam, take screenshot, take give information, take approved language base, bring more voice, bring vision, bring clarity, bring assistant capability, bring all original functionality, bring google pixel, bring old assistant, bring google assistant, bring update, pay google, have both free and pay version, pay praise, pay attention, pay money, tell problem, tell skill level, tell developer, tell gemini, tell upcoming appointment, tell news, tell thing, tell lot, tell good mention, tell complete opposite, tell correct answer, tell most uptodate answer, tell answer, tell name, tell wrong name, tell blatant lie, very nice and tell correct information, tell useful information, tell good result, tell about gemini, leave bloody answer, leave viewer, leave stuff, leave option, leave google ecosystem, leave house, leave half information, leave dangerous information, leave importan info, leave wrong talk point, offer correct and accurate answer, offer more human like and accurate response, offer benefit, offer feature, offer smooth user experience, offer seamless and enjoyable experience, offer text, offer information, face serious challenge, request information, request google gemini ai app, fantastic usefull easy to operate thankyou android, operate mobile app, cancel trial, cancel timer, discuss medicine, discuss topic, discuss election, study nice one gemini, mention problem, practice math problem, practice english pronunciation, restrict free speech, facilitate all educational structure, incorporate other language, expand range, contain advanced knowledge, alter image, vary good app, exceed expectation, exceed such attitude, limit utility, lack most important property, lack basic feature, convey same level, useful ai, useless ai, good helpful ai, suggest good way, suggest well possible solution, suggest chat gpt, get previous name, get google address, get many answer, get chatgpt style answer, get satisfy answer, get correct reliable answer, get all answer, get proper answer, get answer, get really strong answer, get quick answer, get message, get more message, get pixel phone, get more accurate response, get exact response, get useful response, get good response, get response, get solution, get free trial, get absolutely no none complaint, get bad wrap, get bloom, get problem, get a, get million coin, get basic function, get more star, get five star, get all feature, get full access, get improvement, get app, get gemini beta app, get thinkg, get advance, get remainder, get proper result, get very basic and popular result, get good result, get resulte, get information, get very good information, get info, get email, get point, get widget, get all require search, get personal counsellor, get gemini ai advance trial, got one problem, reach even half, reach point, refuse so many topic, argue insanity, deliver useless response, respond two question, put phone, put own custom voice, put task, put voice activation, put quotation mark, put five star, put file, put information, put persian language, have drive tone, make list, make about10more list, make note, make review, make really good team, make group, make cartoon character, make thing, make brilliant thing, make stuff, make lot, make cool story, make homework, make trouble, make same mistake, make mistake, make silly mistake, make little mistake, make much more mistake, make calendar reminder, make personal greeting, make assignment, make custom routine, make logo, make brown stew chicken, make attempt, make suggestion, make false claim, make so much talk, make own answer, make decision, make several action, make more reliable system, make huge size report, make photo, make beautiful photo, make picture, make ney image, make bad image, make image, make gemini, make massive use, make phone call, make call, make whatsapp or other app call, make promotional facebook post, make google, make coherent sense, make sense, make less sense, make ir, make fast improvement, make improvement, make income, make computer, make seperate app, make app, make hindi, make music, make hey gemini, make chilean chili seadog, make video, make difference, make good difference, make excellent source, make primitive kiln, make terrible jpeg, earn trillion absurd gambling, remove gemini, remove lecture aspect, remove google, remove memory, remove name, remove application, remove feature, remove all google assistant feature, remove text, remove app, remove google assistant, remove assistant, remove community mambar, adjust alarm, adjust interruption time space, adjust volume, enable access, enable location service, enable google gemini, enable circle, enable google assistant, allow voice command, allow adult topic, allow app, identify image, identify photo, identify two different captain, investigate gemini, describe upload image, explain concept, explain math problem, explain whole question, explain same thing, explain text, explain google search, explain symptom, understand urdu, understand roman urdu, understand tamil language, understand different language, understand language, understand spanish, understand technology, understand google home automation key phrase, understand statement, understand word, understand hindi word, understand basic question, understand question, understand answer, understand homework, understand complex notion, understand intent, understand most thing, understand thing, understand simple word name, understand request, understand dulcet northern accent, understand indian accent, understand accent, understand cultural aspect, understand topic, understand concept, understand context, understand problem, understand speech, understand basic command, understand simpilist command, understand command, understand query, understand degenerative disc disease, understand good advicer, understand bangladesh, understand pronounciation, recognize photo, recognize voice, understand students question, interpret input, interpret traffic lane sign, expect reliable and correct information, expect english, expect more reliable experience, know more advance thing, know thing, know many other, know idea, know name, know number, know definition, know full form, know other dialogue, know own feature, know location, know google, know user, know spit, know tamol, know monthly subscription, know bangla, have fast response, have response, have quick solution, have solution, have problem, have small problem, have same problem, have one problem, have competition, have multiple ongoing conversation, have live conversation, have conversation, have so many nice conversation, have funny conversation, have old thinking, have good time, have hard time, have very strong ability, have ability, have same skill, have conversation skill, have very clear understanding, have reasoning power, have dominance, have expert, have plan, have capability, have completely different and unique style, have open discussion, have suggestion, have opinion, have interest, have limit, have restriction, have industrial revolution, have many mistake, have concern, have doubt, have knowledge, have little bit knowledge, have personality disorder, have personality, have facility, have english project, have google pixel google home device, have such useless tool, have delay, have memory, have much clarity, have good choice, have one thing, have lot, have word, have one idea, have idea, have very less fact, have other question, have question, have too much trouble, have all answer, have correct answer, have good answer, have gemini caller i d voice, have voice, have nice sound voice, have only single voice, have android phone, have cell phone, have new phone, have two phone, have google phone, have new good friend, have friend, have body, have gemini advanced, have gemini, have great gemini, have live option, have option, have smooth support, have nice boss, have enough money, have lack, have security breach, have none, have most interesting brainstorming session, have semi idiot pa, have right, have emotional depth, have really nice neighborhood, have very much more feature, have more feature, have file upload feature, have even more feature, have special feature, have voice match feature, have remembrance feature, have amazing feature, have good feature, have faith, have pleasure, have one, have nice and nice one, have such low rating, have highly disappointing experience, have enough experience, have such good experience, have full experience, have experience, have frustrating experience, have function, have search screen function, have same function, have zero value, have little bit, have long way, have app, have search button, have early access, have unlimited access, have advanced access, have access, have pro version, have family link, have issue, have vision issue, have same issue, have other gender, have wealth, have google gemini advance, have advantage, have wonderfulness, have setup hassle, have multiple google fi line, have great information, have extra information, have well integration, have poor image generation quality, have good quality, have natural language, have difficulty, have fun, have genius admin assistant, have secretary, have intelligence, have good start, have feature parity, have year, have extra little nudge, have potential, have full fruition, have good ai experience, have full on conversation, have modarola, have knowledgeable and versatile ai assistant, have cloud base ai, have limited capability, have limited time, keep good conversation, keep phone, keep answer, keep long picture, keep company, keep type, keep hey google, keep brain, keep good work, keep great work, keep track, keep two app, keep log, keep old google assistant, keep correct information, keep record, blow mind, lock phone, ignore negative question, ignore question, ignore detail, fill trouble, bother google programming, remind gemini, deserve even single star, deserve five star, deserve more than five star, deserve such respect, deserve freedom, appreciate creation, appreciate natural and prompt response, appreciate team gemini, appreciate live feature, appreciate work, appreciate app, appreciate selfpromote app, appreciate humble google assistant, appreciate innovative technology, raise concern, raise awareness, raise important question, raise rating, require late version, require update, require work, require more time, require confidentiality, catch wrong pronunciation, prefer google, prefer gemini, prefer app, prefer dark mode, prefer more less filter system, prefer integration, prefer one, prefer google assistant, prefer classic google assistant, select prefer language, prefer native language, include picture, include photo, include malay language support, include long press power button feature, include more feature, include app, see full version, see next version, see text, see new upgrade, see picture, see photo, see sign, see brother, see such useless ai, see one word, see icon, see timer, see answer, see error message, see facial cue, see capability, see multiple perspective, see benefit, see great feature, see app, see such useful app, see persian language, see point, see search history, promote ad, promote app, promote very untrustworthy experience, promote representation, represent diverse accent, enhance specific skill, enhance capability, enhance productivity, enhance image, enhance mind, communicate business matter, follow command, follow proper command, follow instruction, follow information, obey simple order, find picture, find job, find answer, find question, find new recipe, find bug, find product, find solution, find well auto response, find thing, find too many reason, find location, find direction, find scenario, find song, find pic, find resume, find more improvement, find information, find quick information, find youtube video, find cute new gf, find steal offline phone, seek answer, navigate home screen, navigate dreadful website, learn english language, learn dead language, learn new language, learn english, learn mandarin, learn new thing, learn new idea, learn knowledge, learn new skill, learn multiply interest, learn option, learn more command, learn man, learn alot, learn enough impormation, teach whole lot, teach love, pull interview, pull thing, roll apple intelligence, try gemini, try pro gemini, try many thing, try bard, must try app, try app, try gemni, try quite afew ai app, try claude pro, try acouple ai assistant, tap mic, repeat self, break flow, break information, break heart, break hoe, crack world, fail test, detect english word, rate more than2star, figure most productive way, figure current location, figure life, process simple thing, process large amount, form foundation, set reminder, set geographic reminder, set timer, set routine, set multiple alarm, set alarm, set gemini, set event, set language, set default language, good free ai, cover caller name, grant full access, involve they self, require above permission, prefer google assistant and also google assistant solo, nice to talk to very human like response, recall chat history, port exist functionality, comprehensive phone ai assistant, voice call out command, world ai bot, system faad app, fastan upgrade progress, muskegon heights tigers football, so many mistake, have very many hide feature, press speak key, press send button, it mistake, it great ai tool, it good ai tool, highlight source area, skip track, switch language, switch payment method, switch google assistant, switch assistant, switch app, paste material, paste more than1photo, leak personal information, spread misinformation, connect divisidizm, kill mutation, kill google assistant, kill skynet, destroy android, destroy humanity, destroy userbase, protect privacy, trust worthy answer, trust ai, trust ai overview, need more finesse, need more emprovement, need widget, need similar widget, need more access, need access, need vip, need short answer, need precise answer, need conceptual question, need extremely detailed situational question, need realtime voice, need more realistic voice, need more beautiful voice, need help, need ability, need explanation, need more fine tuning, need image generation, need camping tool, need lot, need kind, need space, need more time, need screen translator option, need more functionality, need such stupid application, need reliable manageable structure, need meditation program, need bengali language model, need at least10year, need ai, need gemini, need cai, need more feature, need more work, need serious work, need ton more work, need work, need change, need voice change, need name change, need more development, need further development, need improvement, need more improvement, need alittle voice improvement, need some more improvement, need lot more improvement, need access management, need more experience, need app, need google app, need update, need more update, need minor update, need more promotion, need information, need true information, need more information, need more info, need hand free assistant, need tamil translation, need english, need other language, need good vpn, need more acute datum, need more devlopment, need website url, want real information, want quick and helpful information, want more specific information, want text, want technology, want english, want assistant, want google assistant, want accurate answer, want cbse answer, want help, want previous name, want logical objective response, want more attractive and luxurious filling, want gemini thing, want historical fact, want hand, want garbage, want feature, want beta pro version, want email message and calendar usage, want more update, want change, want improvent, want more app, want gemini app, want other domim, want bard, want old homescreen, want third party, hate you guy, hate fact, hate app, hate solicit review, hate apple intelligence, burn skin, touch heart, want advanced humanlike intelligent ai, believe hype, accept request, hide key answer, hide donald trump podcast, deny great app, meet standard, meet expectation, pose significant challenge, stop timer, stop conversation, stop app, stop gemini pop up, answer controversial question, answer simple question, answer certain question, answer mathematic question, answer basic question, answer political question, answer all question, answer only three question, answer homework, answer silly answer, answer thing, answer user query, answer picture, answer all querrie, begin answer, say censorship, say hey google, say most generic thing, say one thing, say word, say whole united states army fact, say truth, say right answer, say reminder, say mark, say wrong review, say backroom, say nada, say alhamdulillah, ask update, ask trigonometry table, ask first question, ask dame question, ask same question, ask little question, ask tough question, ask two simple question, ask question, ask complicated question, ask voice, ask one thing, ask doubt, ask bro, ask payment, ask math problem, ask simple math problem, ask speech, ask gemini, ask gemini live, ask google, ask app, ask google assistant, ask study related question, ask current wthr cond, do google shopping, do same mistake, do basic thing, do basic assistant thing, do great thing, do many thing, do more thing, do half thing, do simple thing, do important thing, do thing, do so many thing, do wrong thing, do something, do most basic stuff, do all stuff, do stuff, do same stuff, do all homework, do homework, do lot, do simple assistant task, do simple task, do many task, do task, do basic task, do basic image generation, do search screen, do one response, do particular action, do simple math problem, do game, do random, do none, do good work, do amazing work, do home work, do well job, do good job, do even most basic feature, do error, do simple calculation, do basic function, do hell, do translation, do image editing, do english, do math, do simple math, do alot, do lookup, do generalization, do sport, do something assistant relate task, do good one, add arabic voice, add various voice, add instant touch, add comment, add two more project, add image section, add more fun activity, add ability, add stuff, add automatic scrolling, add game, add gemini, add option, add screen search option, add support, add general knowledge, add new feature, add screen translation feature, add name change feature, add kore feature, add feature, add google assistant feature, add more than one picture, add extra step, add video button, add full screen animation, add more third party integration, add text, add more text message quality acquisition, add google assistant, add function, add way, add nepal language, add arabic language, add bangla language, add malaysia language, add more local language, add persian language, add tamil language, add central kurdish, add contact, add date, add variety, add extra vavoom, add document reading feature, add tagalog"
3,Data Collection,"receive output, receive value, receive photo, receive update, collect personal datum, implement feature, implement memory feature, introduce lite version, throw phone, throw search result, pass exam, pass university exam, post more use"
4,Data Collection,"return response, return new pixel"
5,Force Move,"force ai, force move"
6,Enrich Decision Making Power,"enrich decision making power, adjust volume set"
7,Phone Call,"call people, call stupid program, call place, call specific number, call number, call one, call contact"
8,Basic Functionality Sacrificed,"do honor magic6pro, sacrifice basic functionality"
9,Multi-lingual Communication,"feel satisfaction, feel amazing experience, hear voice, hear only girl voice, hear different accent, hear single word, hear correct name, hear voice command, hear gemini, have hear problem, spend more time, watch content, watch animation, watch youtube video, taste amazing picture, think anything ai, look information, improve english or maybe other language speak fluency, talk language, speak burmese, speak marathi, speak persian, speak other language, speak language, speak portuguese, speak fluent spanish, speak czech"
10,Human Quality Text,"verify payment, verify response, verify information, verify ai information, maintain subscription, install several app, install gemini app, install app, install google app, install gemini, install urdu language, load us app, activate lookout, activate gemini, activate voice command, create really dangerous situation, create end product, create photo, create picture, create same image, create own image, create basic ai image, create single image, create trend image, create low cost image, create brand image, create image, create memory, create reminder, create story, create tutor, create two different voice command, create art, create pic, create unlimited pic, create event, create calendar event, create song, create note, create article, create app, create human, create video, create google docs, create spreadsheet, buy pay version, buy gemini, buy copper pineapple, buy google pixel9pro xl, generate own voice, generate response, generate picture, generate photo, generate damn image, generate simple image, generate image, generate logo, generate answer, generate event message, generate ai image, generate output, generate human quality text, generate less text, generate explicit content, generate knowledge, generate character, generate painting, generate specific result, generate incorrect or misleading information, generate video, generate image sof people, generate google sheets spreadsheet, pic generated nhi hoti hai, calculate simple math, calculate math problem, manage home automation, assess pdf, evaluate functionality, develop model, develop system, develop problem, develop voice search option, develop other language, very well develop app, construct question"
