app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at,extracted_features
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,b70d32b8-b686-4b34-be54-87b91e465466,Probably the best life changing tool.,,Mobarak Hossin,4,"Nov 06, 2024",ProbablyGoodLifeChangeTool
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,50212be6-a3c5-40f5-9b76-4c050f9ac2e4,"I’ve had an amazing experience with this app! ChatGPT has been incredibly helpful, especially when it comes to detailed explanations and personalized responses. Whether I needed help with English grammar, understanding difficult concepts, or just wanted some friendly advice, it was always spot-on. It’s like having a knowledgeable tutor available 24/7! Highly recommended to anyone who needs reliable assistance in learning or just a good conversation. 5 stars!",,Rafi Ahsan,5,"Nov 06, 2024",HaveAmazingExperience;NeedHelp;NeedReliableAssistance;5Star
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,5e7927b4-cc06-49a3-9a5b-3f8f416ad175,very nice app for studies and other information 🙂,,Rima Narzary,5,"Nov 06, 2024",VeryNiceApp
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,e944b6c3-be84-4ceb-91d9-9f86635fce6c,works so nicely and teach a problem like a teacher 🥰,,devi roy1722,5,"Nov 06, 2024",TeachProblem
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,7a531571-456a-4688-b8cd-7b131b6118b1,easy to use with great features and functions to explore and its AI I mean so it's have endless thoughts just like human ☠️,,Anvesha Parashar,4,"Nov 06, 2024",HaveEndlessThought
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,293de268-4485-4180-97b9-b4071490137e,"It was a very good app. And. It. Reduce all the answers which we have asked. It gives it gives all the answer that we have ask. Ed, it is a very good app.",,Aman Parmar,5,"Nov 06, 2024",ReduceAllAnswer;GiveAllAnswer
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,7dc85b1f-4402-408c-8db8-a162ed130217,This is annoying I'm just new user and it makes me to difficult to understand also the quality of the message is getting blurd Also I can't send photo Why?,,Sayrene Cabugwason,1,"Nov 06, 2024",SendPhoto
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,45553f80-1c8f-48e8-a701-66a34f584771,i love this app,,ISRAEL JAMES,5,"Nov 06, 2024",LoveApp
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,c3391d99-78e1-4b4c-ba3f-388aeb64704f,you can give this for free down giving money it will very useful for us,,Joseph Madathinakath,5,"Nov 06, 2024",GiveMoney
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,2af7ebbe-b8fb-4ece-a20c-adab9a5a8e5c,it's so good I could use it in learning new things or even in school,,Hamza Tayara,5,"Nov 06, 2024",LearnNewThing
ChatGPT,com.openai.chatgpt,PRODUCTIVITY,acd3d7a5-0236-4402-83f2-eaba2ecf076e,i like the app generally but please elaborate the points to earn more marks,,Wabwile Denis,5,"Nov 06, 2024",LikeApp
