Cluster ID,Cluster Name,Feature List
1,Admire Posts,"admire post, post more then2the, post only7post"
2,Online Identity Verification,"enter application, enter program, enter channel, enter telegram, enter strange group, enter number, enter new sim number, enter phone number, enter account, enter app, enter email, enter new email, enter dm, enter email mf"
3,Play Video,"play track, play game, play store fraudy app, play video app, play download video, play video, play minigame, play mucis"
4,Show App,"show video, show monthly subscription, show banglalink sim login verification code problem, show code, show notification, show old conversation, show info window, show black screen, show original channel, show proper order, show connect updating, show wrong thing, show nearby friend, show close people, show incoming call, show phone, show that episode, show respect, show nice app, show ad, show close app and app info more detail, show nearly people option"
5,Secure Information Transfer,"pass information, get pass code, pass whatsapp"
6,Build Your Own Platform,"build own platform, build platform"
7,Financial Transaction,"change phone, change device, change crypto feature, change phone number, change default storage, change life, change whole life, change policy, change username i d, transfer money, loss all old data, work technical issue"
8,Social Media,"view post, view incoming message, view ad"
9,Personal Information Sharing,"notify through, notify telegram, share personal information"
10,Report Abuse,"report fake channel, report illegal channel, report scam activity, report cyber crime, report porn, report scammer, report spammy or fake account, post several comment"
