app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at,extracted_features
Telegram,org.telegram.messenger,COMMUNICATION,cb0d37e4-0fc3-4da5-86ba-5a6f3b42f327,Good,We're glad that you're enjoying Telegram. Thank you for your review!,GAMING 999,5,"Nov 06, 2024",Good
Telegram,org.telegram.messenger,COMMUNICATION,605f903f-3b92-44bd-9814-d0b76ee02907,Best app,"Thank you for your review, we appreciate it!",Aslam Joya,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,4fdd4417-3325-4744-8e3c-1a5c28cfe171,"Telegram Is my one of favourite app, since I am using telegram from 2019 but recently my telegram account was hacked , he changed my password and 2 step recovery email please help me to recover my telegram account My Suggestion - Telegram Should Add a OTP option when we change our recovery Gmail Please Telegram Help Me To Recover My telegram account I have many important files and photos in my account Thank you",,Gururaj Yt,3,"Nov 06, 2024",telegram;telegram;telegram;Gmail;telegram
Telegram,org.telegram.messenger,COMMUNICATION,24d8888e-93a7-4a18-a65d-9f570abd6c13,Happy Happy,,Samuel Ajiboye,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,ce971dce-6162-45b0-943b-6334ab8de2bf,Very good,"Thank you for your review, we appreciate it!",Razie Rezaei,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,900e9f39-468c-4225-98a3-960b3ca00c44,"Forward message isn't working! The issue apeared some time at spring and still not fixed. STR: 1. Open any chat or DM with forwarded message. 2. Click at the arrow at bottom right corner to forward it. 3. Type some text to search a chat you want forward the message to 4. Click on person/chat. (Spoiler: click does nothing, you cannot select). Reproduces when using search. Also try to send to archieved of foldered chats It's really annoying and quite an old problem, please fix it",,Skarlet RED,2,"Nov 06, 2024",message;The;STR;message;message;chat;poiler;Reproduce;folder
Telegram,org.telegram.messenger,COMMUNICATION,517b5bf7-4373-469e-bcf8-b1f071bc3480,Best app for Boy's 😜,,Praneeth Varma,5,"Nov 06, 2024",Boy's
Telegram,org.telegram.messenger,COMMUNICATION,4436d1d9-4162-4108-a983-b733019af5d8,Worst privacy and security,,Vikas Bade,1,"Nov 06, 2024",Worst
Telegram,org.telegram.messenger,COMMUNICATION,e83f44f0-c6f4-454c-9d14-a81a31003e62,Nice app,"Thank you for your review, we appreciate it!",Zad Ozz,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,293c45a5-6b5c-419f-b88f-55d080c20dce,Supar,,Sachu Pallath,5,"Nov 06, 2024",Supar
Telegram,org.telegram.messenger,COMMUNICATION,b9436ca0-f184-4cf3-bb1a-f58727bdca24,"Fix your app cuz it's not sending SMS code anymore, it's says (plss check the code we sent on your other device) but I don't have other device and also I just bought a new SIM card. Why is not sending Code on my SMS,..",,Val Christian Torres,2,"Nov 06, 2024",device;card;sending
Telegram,org.telegram.messenger,COMMUNICATION,bb5febc8-09fb-4dd9-b63e-b93bb83a3bb1,Gjvzarh,,Nilesh Nishad,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,4f638aa3-d96e-42e0-bf58-93bc0cd6b83b,i like so much..,,jamal khan,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,9609d717-5cde-4b0b-915e-e9b90050063b,late message problem 😔,"Thank you for your feedback. If you have any specific issues or suggestions, please feel free to share them with us.",Amarjeet kumar,1,"Nov 06, 2024",message
Telegram,org.telegram.messenger,COMMUNICATION,97172b04-2bcf-497b-b131-37d5d536c839,I am facing display glitch problem in some telegram bots it's irritating me i am unable to play some bots smoothly my device is OPPO A38,,Rashid Ramzan,2,"Nov 06, 2024",telegram;bot;bot
Telegram,org.telegram.messenger,COMMUNICATION,8790977d-8b86-4e44-abbd-8f86a5e591c5,This app is very nice,,Vedant More,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,54371bda-d8af-4d88-ab08-5101c032d7a8,Excellent app,"Thank you for your review, we appreciate it!",Rajib Ahamed,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,4779dd36-cc5e-4b4a-ace4-7e799a1702f1,Lakki,Thank you for your rating!,Hidi Obo,4,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,6c9ea1b3-7583-4bc7-95ca-cd8750ebc04a,lamin 27420241,,la min 27 lamim27,3,"Nov 06, 2024",lamin
Telegram,org.telegram.messenger,COMMUNICATION,375b0a7a-890a-4401-ab0f-97cda5372986,Woow,,maddox pix,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,d2c5e14e-fbf2-4db7-ac2e-9166d2af9e00,Nic,,MD Ballal,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,d314b37d-54cf-418f-8bf6-deb0cfd923bc,Have an android and am unable to delete photos or videos I've shared with others,,C H,1,"Nov 06, 2024",videos;with
Telegram,org.telegram.messenger,COMMUNICATION,603b5779-80b7-4069-a1aa-0d7a493e795c,Telegram is the gate way of online spammers,"Please make sure to never share your login codes with anyone, and avoid using 3rd party / unofficial apps. You can go to Settings > Devices in Telegram to see where your account is logged in and terminate any suspicious devices there. You can also add an extra password for your account in Settings > Privacy and Security > Two-Step Verification.",AS TUBE,1,"Nov 06, 2024",Telegram
Telegram,org.telegram.messenger,COMMUNICATION,1c695a89-3df6-43ff-b9e5-114f7799b193,Bangladesh Grameenphone sim login code sms problem,"We're sorry to hear that. Please verify that your mobile plan includes active SMS coverage. Confirm Google Play Services are enabled on your device and disable any active VPN. If issues persist, contact sms@telegram.org with your phone number in international format as the email subject.",Maymuna Akther,1,"Nov 06, 2024",een
Telegram,org.telegram.messenger,COMMUNICATION,108238af-f517-4e27-896e-9cda0652aee8,Good,"Thank you for your review, we appreciate it!",miraaz ahmed,5,"Nov 06, 2024",Good
Telegram,org.telegram.messenger,COMMUNICATION,646244fe-9a85-4996-b9bb-a494d3bafdb4,Good app,We're glad that you're enjoying Telegram. Thank you for your review!,Piyush Kumar,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,87189dde-94d8-4bf2-aacb-5c3ab69af55c,Super app,,Praba Karan,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,e55bc702-1984-4bab-8b1f-f0f150556864,Bangladesh grameenphone login code sms problem,,Sagar Mollik,5,"Nov 06, 2024",gram
Telegram,org.telegram.messenger,COMMUNICATION,7b06cccd-243b-474b-a839-6b07f1a5a254,جيد,"Thank you for your review, we appreciate it!",haidar aldilamy12,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,3d52c5f8-7712-473f-adf8-c721a21a1046,banglalink Bangladesh SMS code problem,"We're sorry to hear that. Please verify that your mobile plan includes active SMS coverage. Confirm Google Play Services are enabled on your device and disable any active VPN. If issues persist, contact sms@telegram.org with your phone number in international format as the email subject.",Im Fatema,1,"Nov 06, 2024",link;Bangladesh SMS
Telegram,org.telegram.messenger,COMMUNICATION,52d86e69-0fdf-4d75-81d4-e71842447e65,Good 👍,,GOPINATH SARKAR,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,875054cf-702b-4a49-9caf-63dde6e246be,Good,Thank you very much for your kind words!,DEEPAK DHAKRE,5,"Nov 06, 2024",Good
Telegram,org.telegram.messenger,COMMUNICATION,36b5faf3-7290-4888-a756-c7fe43264ebb,Best,Thank you very much for your kind words!,Iftekhar Ahmed,5,"Nov 06, 2024",Best
Telegram,org.telegram.messenger,COMMUNICATION,f71c4d9d-bffd-46a8-a8ce-4acd368247d8,বাংলাদেশ টেলিগ্রাম গ্রামীন সিম প্রবলেম,,Rdqs Zcvra,1,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,92365158-b88e-44f9-93da-693763845e10,Lovely,,doodieman fart,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,c5b48151-14f6-4f42-820e-90914f6ca14c,great,Thank you very much for your kind words!,Mohd Farhan,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,1cd36b86-282a-46f8-9f5d-18cacd45f846,"Bad applications I tried to hide my number but still, I try to contact with support team but no response",,Ali Alsanady,1,"Nov 06, 2024",contact with;support team
Telegram,org.telegram.messenger,COMMUNICATION,797890ab-27a5-4e02-95b3-c6f468960cd9,I bought premium join hundreds of miniapps but wrost thing I'm not able to message someone first. Because they block my messages since 2 years. Now if i face prblm in any miniapp. I cannot message to admin or mod. Poor. If someone Buy premium telegram must takedown message Block at least.,,Football Skills,1,"Nov 06, 2024",message;messages;Now;message;telegram;message
Telegram,org.telegram.messenger,COMMUNICATION,9fc43b9b-7a5c-4fed-b549-dbed964d330f,AHAD,,Nawanb Khan,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,e4f9bb56-5981-4ef7-98f3-3aa2e5fb65df,Smart,,Najib Abdullahi,5,"Nov 06, 2024",Smart
Telegram,org.telegram.messenger,COMMUNICATION,d9f1132d-c7c5-459a-bfce-ca0c5892df5a,Thanks for this app,,Punitha Puni,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,a162c8a6-258b-4331-a394-f0de605b3a84,Telegram so frustrating my bots are not opening,"Could you please tell us more about this problem? You can report it using our bugs.telegram.org platform. We suggest you to create a detailed explanation of the issue there, so that it will be possible to collect more information about what is happening.",Diamond henry,1,"Nov 06, 2024",bot
Telegram,org.telegram.messenger,COMMUNICATION,e37c6e1a-7779-4096-ae58-585d6c539f40,Good but improve,,Anjaneyulu Anji,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,3c97ad22-bb3d-43d0-a08d-46aa3cb12173,He is bear,,Prince Goyal,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,668c476c-ea68-4a16-94b3-fe06142efb62,Acha hi hai,,Supriya Kumari,5,"Nov 06, 2024",Acha
Telegram,org.telegram.messenger,COMMUNICATION,c60731fd-ab88-40f8-902e-951cc3ce0f2a,New update for the video player is not working properly,"Could you please tell us more about this problem? You can report it using our bugs.telegram.org platform. We suggest you to create a detailed explanation of the issue there, so that it will be possible to collect more information about what is happening.",Bharath M,3,"Nov 06, 2024",video player
Telegram,org.telegram.messenger,COMMUNICATION,8d6d284a-62a9-4931-b548-5d7c3e3d3db4,ok,"Thank you, we're glad to hear you enjoy the app! If you’d like, you can change your review to 5 stars (a positive rating).",dhana banju,4,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,ac02deab-3ae1-435c-97e4-270207a1fd38,Nice hoke bhi not nice 🙂,,Ankita Kumari,5,"Nov 06, 2024",hoke
Telegram,org.telegram.messenger,COMMUNICATION,33f1f162-dbdb-4b64-9909-f925a84ba7ad,I can't log in,I’m sorry that something is currently not working perfectly for you. Could you please give more details? Is there an error message? I’ll do my best to help.,Crizell Cabangon,1,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,900750fb-847c-4bf0-b320-8aee1212ed17,Cool 😎,,Ben Liebowitz,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,8f9dcd10-f676-4c27-8645-04a1933a8402,"Bug - Repeat notification setting set to off, but still get repeat notification",,Ethan Heng,4,"Nov 06, 2024",notification;notification
Telegram,org.telegram.messenger,COMMUNICATION,5e16e55f-bcf5-410d-a7dc-1e563ab825cf,I like it,,Billiah Agutu,5,"Nov 06, 2024",
Telegram,org.telegram.messenger,COMMUNICATION,f559029d-e49c-4cbc-aada-5a138f353a76,I can't log on the account,,Shan Micahel Delarmante,5,"Nov 06, 2024",account
Telegram,org.telegram.messenger,COMMUNICATION,06f3d9e5-e3ab-4254-a302-775185782a7e,It's a great app😁,Thank you for your feedback.,MT Yusuf,4,"Nov 06, 2024",
