app_name,app_package,app_categoryId,reviewId,review,reply,userName,score,at
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4e82e301-dc5d-4161-a759-3d2f8ed9f55e,this app is very great 🥰,,Hhgh,3,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4f79ed08-8e58-46db-b8c0-8e9cd604c76f,Awesome 👍😎,,Amal Mandal,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4c7d77f4-1cf3-4740-ba61-c5a7b0412089,Very,,Ram Narayan,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,892740ee-fe37-426b-b057-c7d967d92dd1,Not so good,,Nokill shek Nokillshek,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,405b660d-5b4d-41e6-bf8a-f29c82c4ad23,Am enjpying this whatsapp messenger application,,Auwal Zakariya,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,d9a95fa2-9118-461b-a858-960bb7f20f1d,it is too slow.i wanted to update my whatsapp and it took me 5hrs before updating,,Lunga Junior,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,146407e2-bb87-400d-99cc-8fa54166cfc7,Very useful app,,Nury Khanam,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,6f67f201-1786-49b3-b063-b7cc3e693e3b,Superb but if we send message that green box will send change colour of green.,,Dhanu Ja,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,855d8e96-3df0-4b77-b464-b94a7df71e5c,"Hot smooth, intense ,active,mornings",,Teta Nounlasy,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,1f637c33-c06f-448e-be41-eb9dabdcbcab,"Worst app , fade videos and images after uploading on status",,Aman Chauhan,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,a1bc2a64-9128-43a8-b22d-4e8d21a80c13,"Its easy to use but it has so many setting which you can change and has new features including Meta Ai ,really cool guys",,Amogelang Ncube,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,646a9a56-e044-4377-af70-228eb6386fad,New version,,Akash Singe,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,de8a50f6-5ccc-40be-9f74-2f6dfc0a4505,Best app for messaging,,Hizenberg Sanjan,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,7ce5948b-17b0-4ce5-873b-083ac355b74e,Very nice,,Sunil Rawat,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,64ec08f9-b91f-45c8-9e54-14b9f8343e15,Good morning,,Umar Ch,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,b60151e7-b277-4a88-b3a0-27081d3c1347,Very good,,John denver Soriano,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,f8edb16f-0578-4bd6-96b6-8ff9ba0d6769,Nice app for chatting 🥰🥰,,Iliya Justina,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,368a1bf0-e543-49de-8095-3cb7bb413361,"Whatsapp keep logging me out after i have log on, on my device. I have sent countless review and there are no repsonse or repair. Please kindly resolve. I have not been able to use my account for months now.",,Yusuf Micheal,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,73695429-4ba5-4639-98f8-cfbd41790f6d,Wow it's been good,,Mohammed Dangor Yussif,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4f3191c6-2dab-4644-ac5d-c3df66c0619c,WhatsApp shamable App not recommended. use telegram is very good App,,Shigar Times,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,0d1b4a71-ca9c-425a-8c40-7907790c23c1,I'm new at this,,Roger Day,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,7e71c8b6-59ae-4288-99db-b7199abd1165,WhatsApp is great,,Abdulrahman Maina,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,892d44a6-6034-488a-a127-10ee7f3cda4d,I glad your working WhatsApp,,Nankanga Branda,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,2cf1870b-b19f-4dc3-9d7c-2122db0656d0,I want video call filter🙂,,Vijayalakshmi C,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,0853e58d-a598-4bbb-82d2-ff26cda83a01,Very nice 👌,,Demo Bizz,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,80054ca5-2b8a-4575-b858-2639735640d6,Very nice,,Raphael Mensah,3,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,039298ce-f452-4aea-8243-a2b289f3d878,Very good app,,Idris Ayuba,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4c6979d4-f5b5-47e8-8c21-5f7949baf3e9,Very good,,Vinod Ninama,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,78063f4e-5f4f-44d9-aea6-8e9336f70b0b,I love this app,,Mqondisi Jobe,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,246cd7f8-e9eb-431c-8933-1a0584fab785,1.When we send message the recipient read that message in his notification But whatsApp still shows that message to be read. 2.when we want but dp there is size or mb limitation 3.in dp there should be video option also And who seen also.,,mohd Arif Ahmed,3,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,d9e6a528-0972-4554-84d1-fb1322bdf786,I love WhatsApp more than face book,,Suzy Khasho,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,6c1a1c3e-0dfb-45f8-86d7-a36c1979d741,The best app ever🥰I love it and I like it👌this app make us reach our family,,Jackline Ruguru,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,05c1f797-f370-4349-966c-7d5e5a24f281,Wonderful,,Micah Mwonyonyo,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,eedc0d9a-0c48-40d1-bb24-c1683cd53bc3,My watsapp seemed to be spamed so I cannot access my watsapp .,,shyam rajagopal,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,9c91f101-8311-4db2-8fd9-636057cd0877,"WhatsApp voice messages have stopped auto playing the next VM since months ago, yet there's NO FIX till date. 🤬",,Christian Kee,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,cfda9e75-3cf1-40b2-943b-67b5379e4bd1,"It's very good, its security is the best",,Anuj Yadav,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,47218b5f-bd6b-4908-902b-d5b5b1f61497,Fain may efs,,Md Ashik,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,4aedc287-c8cd-47d5-a760-7086b7fac066,Good safely month update stop virus. Happy update,,Eva Kerr,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,c547f5da-7a61-49ba-bd06-3d25717a3c25,Like it very much,,Marlene Cox,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,e90a0f56-56e7-4b92-a86d-ebc8b90ed2c5,Wonderful app 👏,,Abhay Yadav,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,5f187a1c-8cb1-42cc-b8d5-c75765dc2633,Its not that fast buh okay,,Khadijah Abdullahi,2,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,e63eb0d1-8a85-46ae-a1c1-c1de73e6e6ca,"Whatsapp is very user friendly, it gives you an amazing messaging experience. It is very easy to connect with friends and relatives either abroad or local. I highly recommend this app.",,Tanaka Vurundiya,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,e32083ae-2b32-41ba-9dcd-8cf3a97333c4,V.Good. app,,Satyam Kasaudhan,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,bbbeb810-44b6-4b2f-aaa9-0ae9b2ddaadc,"My whatsapp getting reported and logged out every time, someone added me in international group and after that my account is deleted. I changed my Group adding settings I changed that to my contacts but doesn't work for me. Please do something 🙏🙏",,Rekha Singh,1,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,d71b3fce-1c47-4a50-a412-3b02491e18ce,Very nice,,Nnalongo Bamweyana,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,05c7e01a-45cc-4254-a86f-e4ee980c7311,Very good app,,Mousume Khatun,3,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,62ff7f68-771c-4b0e-90c9-6429d5844385,Easy to chat with,,Mayasprie Naidoo,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,a3cbabcb-b424-4884-b905-50734698bc67,So far only disappointed me twice so we good,,Lushomo Manganya,4,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,f2d7670c-0b64-4ec7-a502-4e7102f1cff1,It is very exciting 😍🤩😍,,Reabetswe Mofokeng,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,caa37248-ac4e-4ea5-8ac4-0af19bbd64ef,Always happy my whatsapp,,Saroj I am beagest fan of sailandra Jena,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,d86656fe-0994-49c2-b6cd-ab019d33a7c4,All the things been done with this app are all good formative app Is all communication that happened and give one a side view,,Ochang Divine,5,"Nov 06, 2024"
WhatsApp Messenger,com.whatsapp,COMMUNICATION,c347984b-74c5-46ef-b6f3-1cda569f6d0c,Excellently,,Hassan SEBIT,5,"Nov 06, 2024"
