Cluster ID,Cluster Name,Feature List
1,Update,"update, not update, do update"
2,Start Chat,"start, start chay"
3,Wasting Time,"just waste, totally waste, waste more time"
4,Quick Answering,"quickly answer, have almost answer, not answer"
5,Give Feedback,"give feedback, give exact an, give public, give eassy, give be, give an, give example, give app, give will not answer, give simples answer, give and advise"
6,Long Duration Task,"take whole24hour, take one month, take lot, take little bit, take so many time, take over an hour, take bit time, take year, take about two hour, take three whole day, take time, take very long time"
7,Go Platform,"go usually one, go wronge, go long way, go next level, go platform"
8,Help,"help study, enjoy help, great everyday help, do help, very help, help, mostly help"
9,Software Quality Assurance,"fix type, pl fix"
10,Help Hand,"hand, help hand"
11,Need Fulfilment,"fulfil need, need, need more working, need set"
12,Group Communication,"want quick way, want more updateshon, want voice chat, want to idea"
13,Varying Quality,"vary good, vary"
14,File Size Limit,"limit, limit file upload"
15,Premium Service,"resemble premium service, afford charge"
16,User Feedback,"get complain, have complain, get time, get lot, get fact, get plus, get plus chatpt, get count, get pass, get prompt, get little heart ache, get kind, get more five star, get reply a"
17,Put Drawing,"put drawing, put lot"
18,Make,"make spped, make boaring, make day, well make, make genius app, make killing"
19,Have Plus ChatGPT Option,"have plus chatgpt, have plus option"
20,Talk Andhra,"do talk, talk andhra"
21,Emotion Recognition,"say feel, help feel, see feel, know feel, hurt feel, have feel"
22,Know the Meaning of a Word,"know lot, know meaning, know use"
23,Do Work,"do program, do easy mistake, do all work"
24,Academic Research,"study, and study purpose, do study"
25,Read Aloud,"use read aloud function, read bruh"
26,Cheating,"lazy cheating app, good cheating app, cheat bt"
27,Mistakes,"sometimes mistake, do mistake"
28,Helping App,"very helping and social hospitally and motherly manner, very good helping app, full helping app, excellent helping app"
29,Time Saving Tool,"amazing time saving, time saving tool"
30,Clarify Concept,"clarify doubt, clarify all doubt, clarify concept"
31,Enjoyment,"enjoy, enjoy bit, enjoy day"
32,Listening Skills,"improve listen, improve prompting"
33,Language Learning App,"facilitate learning, very nice learning app, good learning companion, excellent english learning app, nice learning app, enhance learning"
34,Switching Accounts,"switch account, switch voice"
35,Add Function,"add, have add"
36,Real Estate Business,"elevate already revolutionary product, elevate toronto real estate business, elevate experience"
37,Online Form Filling,"enter official website, enter all information, enter app, hit enter key"
38,Software Development,"build entirely functional application, build business plan, build website"
