Cluster ID,Cluster Name,Feature List
1,Use a Communication App,"use app, use discord"
2,Get User Account,"get app, get discord, get account, get issue"
3,Account Update,"give account, give update"
4,Device Control,"take app, take thing, take phone"
5,Image Sharing,"send image, duplicate send image"
6,App Fixing,"fix discord, fix app, fix account, fix issue, fix thing"
7,Make Application,"make i, make app, make discord"
8,Social Networking,"add app, add server, add thing, add friend"
9,Application Change,"change feature, change app"
10,Time and Money Management,"spend time, spend money"
11,Entertainment,"play app, play video, play game"
12,Secure Messaging,"put update, put message, put phone, put number, put email"
13,Account Loss,"lose friend, lose phone, lose nitro, lose people, lose number, lose account, lose i"
14,Remove Option,"remove notification, remove number, remove review, remove option"
15,Read,"read message, read review, read email, read request, read stuff"
16,Need Nitro,"need, need change, need nitro, need lot"
17,Fundraising,"collect email, collect fund"
18,Camera and Notification Controls,"turn gif, turn notification, turn camera"
19,Accepting Passwords and Dates,"accept date, accept password"
20,Video Communication,"see app, see message, see video"
21,Password Management,"remember password, remember one, remember username"
22,Video Call Notification,"show notification, show video"
23,Write Review,"write review, write link"
24,Verify User Account,"verify account, verify discord, verify problem, verify phone, verify number, verify email, verify password"
25,Secure Messaging,"replace password, replace discord"
26,Enter App,"enter app, enter number, enter channel"
27,Receive,"receive message, receive chat, receive notification, receive email, receive error"
28,Buy Nitro,"buy nitro sub, buy nitro"
29,Ask User,"ask user, ask friend"
30,Time Management,"set date, set notification"
31,Solve Problem,"solve problem, solve issue, solve captcha"
32,Audio Communication,"hear voice, hear friend, hear call, hear screen, hear audio, hear sound"
33,Interactive Application,"click app, click image, click button, click channel"
34,Social Networking,"find app, find fix, find friend, find people"
35,Social Media,"find many youtuber, find many friend"
36,Software Problem Resolution,"resolve issue, resolve problem, resolve bug"
37,Pick Call,"pick voice, pick call, pick audio"
38,Payment,"pay money, pay nitro"
39,Leave,"leave discord, leave app, leave message, leave server, leave problem, leave review"
40,Customer Service,"submit ticket, submit age"
41,Reviewing,"submit report, submit review"
42,Account Security,"keep review, keep app, keep login"
43,Check,"check issue, check message, check server, check e, check email"
44,Monitoring,"check status page, check status report"
45,Describe App,"describe experience, describe app"
46,Change Notification,"change notification sound, change notification tone"
47,Online Registration,"register app, register account, register problem, register date"
48,Resetting Phone or Device,"reset phone, reset date, reset setting"
49,Image and Video Upload,"upload image, upload video"
50,Create Account,"create server, create account, create problem, create i"
51,Account Security,"create new account, create new password, create new thread"
52,Making New Account,"make new friend, make new account, make new ui, make new one, make new acc"
53,Hate New UI,"hate new ui, hate new discord, hate new mobile, hate new interface"
54,Meet Someone,"meet friend, meet discord"
55,Meeting New People,"meet new people, meet new friend"
56,Public Stream,"browse public stream, browse public server"
57,Illegal Activity,"do illegal purchase, do illegal activity"
58,Deserve Status,"deserve status, deserve job"
59,Password Recovery,"forget update, forget password"
60,Look for Issues,"look video, look issue"
61,Online Gaming,"enjoy discord, enjoy app"
62,Joining a Community,"join community, join like community"
63,Email Legacy,"use old version, use old email"
64,Legacy Technology,"have old account, have old phone"
65,Missed UI,"miss old discord, miss old ui, miss old version, miss old layout"
66,Bring Your Own Device,"bring old account, bring old app, bring old one, bring old ui"
67,Bug/Feature,"bring feature, bring bug"
68,Online Meeting Platforms,"connect youtube, connect app"
69,Data Filling,"fill date, fill information"
70,Nitro Push,"push feature, push nitro"
71,Account Setup,"start account, start system"
72,Desktop Website,"use desktop website, use desktop version"
73,Know Problem,"know problem, know people"
74,Discord Communication,"use discord call, use discord mobile"
75,Take More Space,"take more space, take more tap"
76,Verification,"do verification thing, do verification check"
77,Social Media Engagement,"like app, like discord, like update, like game"
78,Report Abuse,"report people, report message"
79,App Installation,"install app, install version"
80,Multiple Issues,"have multiple issue, have multiple bug, have multiple device"
81,Battery Drain,"drain battery power, drain battery"
82,Mobile Update Hate,"hate mobile user, hate mobile update"
83,Feature Creep,"add useless stuff, add useless feature"
84,Random Conversation,"have random bug, have random conversation"
85,Video and Message Sharing,"send long message, send long video"
86,Break App,"break app, break notification"
87,Fixing Mic Issues,"fix mic problem, fix mic voice"
88,App Update,"update phone, update app"
89,Friend to Friend,"friend, friend friend"
90,Time Wasting,"time waste, waste time"
